reviewer_id,group_id,route_id,feature_snapshot_hash,profile,relevance,notes,origin,destination,route_summary,route_traits,duration_min,distance_m,sources
reviewer_01,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,general,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_02,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,general,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_03,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,general,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_04,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,general,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_05,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,general,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_06,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,general,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_07,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,general,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_08,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,general,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_09,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,general,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_01,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,elderly,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_02,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,elderly,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_03,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,elderly,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_04,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,elderly,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_05,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,elderly,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_06,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,elderly,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_07,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,elderly,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_08,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,elderly,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_09,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,elderly,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_01,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,child,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_02,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,child,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_03,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,child,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_04,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,child,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_05,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,child,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_06,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,child,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_07,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,child,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_08,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,child,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_09,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,child,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_01,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,youth,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_02,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,youth,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_03,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,youth,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
reviewer_04,enriched-e57a4c06e95c7d0006b6,route-ef9fc0d5cf085bb29abd,5a9023f2a04908b784fbef6b16300faa274f2317246aa035cff4388bd6807049,youth,,,부산광역시북구청,부산역,도보 + 도시철도,제일 빠른 길 · 그늘 많은 길,45.0,17769.0,VWorld LT_C_BLDGINFO WFS+odsay
