od_id,origin_name,origin_lat,origin_lng,origin_district,dest_name,dest_lat,dest_lng,dest_district,straight_line_km,distance_band,situation_id,weather,departure_at,carry_luggage,stroller,shade_priority,minimize_transfers,avoid_stairs,low_floor_priority,source_kind
od-99729b0e2bcc5c2c0382,봉스타일 (사하구),35.1118844,128.9657218,사하구,조아 (북구),35.1962137,129.0146069,북구,10.3769,medium_4_to_12km,stroller_daytime,normal,2026-08-03T11:00:00+09:00,false,true,false,false,true,true,synthetic_od_from_public_poi
od-d089dbc3315fec78c73c,영진칠기가구 (동구),35.1345514,129.0542801,동구,명빈충무김밥 (남구),35.1356935,129.0878491,남구,3.0552,short_1_5_to_4km,coldwave_morning,coldwave,2026-12-07T08:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-a0f563c790aa3689735c,도피오커피벡스코제2전시장점 (해운대구),35.1657826,129.1350266,해운대구,제로베이크샵 (부산진구),35.1768564,129.071544,부산진구,5.9001,medium_4_to_12km,coldwave_morning,coldwave,2026-12-07T08:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-19ad35d85ed63cdfd37c,동진efc (사상구),35.1466026,129.0003291,사상구,미미랜드 스튜디오 사직직영점 (동래구),35.2019163,129.0652705,동래구,8.5247,medium_4_to_12km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-157f946b05a7cef9ccfd,다이닝갈비부산시청점 (연제구),35.1842654,129.0740466,연제구,5일장터 (부산진구),35.157602,129.0612303,부산진구,3.1855,short_1_5_to_4km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-85b2ad397e4e97dd9d59,정호상사 (남구),35.1126243,129.0814603,남구,개미식당 (북구),35.2071226,129.0036549,북구,12.6665,long_12_to_25km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-b739ef7cf63b5fe9bcf9,주식회사 왔다상사 (부산진구),35.164439,129.0658408,부산진구,부산연산팬텀 (연제구),35.1860794,129.0824898,연제구,2.8426,short_1_5_to_4km,rain_evening,rain,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-a5d9497a1ef16544d504,도조스시정관점 (기장군),35.3276381,129.1797106,기장군,수림횟집 (기장군),35.2961951,129.2599995,기장군,8.0807,medium_4_to_12km,luggage_midday,normal,2026-08-03T12:30:00+09:00,true,false,false,true,false,false,synthetic_od_from_public_poi
od-b580ee39d61b35df530e,진주집 (금정구),35.251812,129.0538979,금정구,백년백세삼계탕 (금정구),35.2614665,129.0864414,금정구,3.1439,short_1_5_to_4km,bad_air_midday,dust,2026-08-03T12:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-01de429989bf433c02f1,드노보헤어 (중구),35.0995402,129.0311349,중구,미락 (사하구),35.1003894,128.9949837,사하구,3.2902,short_1_5_to_4km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-8d542e28ab1a7839ed83,남쌤영수학원 (기장군),35.2377828,129.2103593,기장군,도은 (동래구),35.1984291,129.1106899,동래구,10.0562,medium_4_to_12km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
