od_id,origin_name,origin_lat,origin_lng,origin_district,dest_name,dest_lat,dest_lng,dest_district,straight_line_km,distance_band,situation_id,weather,departure_at,carry_luggage,stroller,shade_priority,minimize_transfers,avoid_stairs,low_floor_priority,source_kind
od-25ff4ea42e9db5b0f6ca,꼬지와 친구들 (사하구),35.0613025,128.9832548,사하구,근대화체인중리점 (영도구),35.071328,129.0681569,영도구,7.8071,medium_4_to_12km,stroller_daytime,normal,2026-08-03T11:00:00+09:00,false,true,false,false,true,true,synthetic_od_from_public_poi
od-ca21eb819a1a907a58d9,더우드 (동구),35.1351467,129.0555497,동구,대성탕 (동구),35.119322,129.033655,동구,2.6573,short_1_5_to_4km,coldwave_morning,coldwave,2026-12-07T08:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-131ef07e7fa7fae01dbe,갤럭시당구장 (해운대구),35.1984036,129.1314055,해운대구,고래야 참치야 (해운대구),35.1728193,129.1753934,해운대구,4.9065,medium_4_to_12km,coldwave_morning,coldwave,2026-12-07T08:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-f89a42cc8701cf0992da,광명당약국 (사상구),35.156823,128.9870173,사상구,문토스트(송도점) (서구),35.0738452,129.0158209,서구,9.5915,medium_4_to_12km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-ef9476fbd6a92b8b0d2d,비오비(BOB)영어교습소 (연제구),35.1813465,129.0863489,연제구,제일횟집 (동래구),35.2053782,129.0805535,동래구,2.7236,short_1_5_to_4km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-b8ce866e168554958586,(주)영남교통 (남구),35.1509659,129.0911678,남구,남산뭉티기 (금정구),35.2725508,129.0891738,금정구,13.5209,long_12_to_25km,heat_shade_midday,heatwave,2026-08-03T14:30:00+09:00,false,false,true,false,false,false,synthetic_od_from_public_poi
od-2fdfb5c2b9fff50c1293,봄토끼 (부산진구),35.1568434,129.0468963,부산진구,소림각 (동구),35.1432378,129.0486635,동구,1.5214,short_1_5_to_4km,rain_evening,rain,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
od-2eb78eb9af1528d0f140,구룡포 해풍국수 (기장군),35.2395897,129.1711088,기장군,동래 도미다리 횟집 (동래구),35.2110518,129.0744758,동래구,9.3336,medium_4_to_12km,luggage_midday,normal,2026-08-03T12:30:00+09:00,true,false,false,true,false,false,synthetic_od_from_public_poi
od-495cca0d051e74038a4e,카페린 (금정구),35.2478707,129.1139616,금정구,유부부 구서점 (금정구),35.2456528,129.0885932,금정구,2.3169,short_1_5_to_4km,bad_air_midday,dust,2026-08-03T12:30:00+09:00,false,false,false,false,false,false,synthetic_od_from_public_poi
od-0aaea3e08b66e3b0e6af,마린분식 (중구),35.1052319,129.0356089,중구,잔나비부부 (영도구),35.087731,129.0457644,영도구,2.1542,short_1_5_to_4km,transfer_min_evening,normal,2026-08-03T17:30:00+09:00,false,false,false,true,false,false,synthetic_od_from_public_poi
