servList__estbDate,servList__faclInfId,servList__faclLat,servList__faclLng,servList__faclNm,servList__faclTyCd,servList__lcMnad,servList__salStaDivCd,servList__salStaNm,servList__wfcltDivCd,servList__wfcltId
20160415,20155830063,35.13569006,128.8711577,자이언엔텍,공장,부산광역시 강서구 가달1로 65,Y,영업,17,2644011200-1-16000014
20160714,20155830064,35.13483701,128.8702807,(주)세진이앤드티생곡동공장,공장,부산광역시 강서구 가달1로 77,Y,영업,17,2644011200-1-16000012
20150901,20155830065,35.13710504,128.877954,JK알에스티,공장,부산광역시 강서구 가달2로 24,Y,영업,17,2644011200-1-15990008
20220223,20155830293,35.01262237,128.8304924,다세대주택,다세대주택,부산광역시 강서구 가덕해안로 1180,Y,영업,17,2644012200-3-03480000
20180828,20155830294,35.01228367,128.8284733,유건아트빌,다세대주택,부산광역시 강서구 가덕해안로 1204,Y,영업,17,2644012200-3-03110000
20180306,20155830295,35.0431043,128.810032,휴게음식점·제과점,휴게음식점·제과점,부산광역시 강서구 가덕해안로 592,Y,영업,17,2644012100-1-15830007
20200427,20155830300,35.03823339,128.8129451,휴게음식점·제과점,휴게음식점·제과점,부산광역시 강서구 가덕해안로 655,Y,영업,17,2644012100-1-14800000
20210128,20155830301,35.03638627,128.8134441,남영아트펠리체B동,다세대주택,부산광역시 강서구 가덕해안로 673-14,Y,영업,17,2644012100-3-13960000
20210128,20155830530,35.03647463,128.813628,남영아트펠리체A동,다세대주택,부산광역시 강서구 가덕해안로 673-16,Y,영업,17,2644012100-3-13960001
20020424,20155830531,35.03662127,128.813085,천성동두문마을회관,노인복지시설,부산광역시 강서구 가덕해안로 673-22,Y,영업,17,2644012100-1-14290000
20080901,20155830532,35.02873294,128.8157006,"파출소, 지구대","파출소, 지구대",부산광역시 강서구 가덕해안로 781-3,Y,영업,17,2644012100-1-07960000
20170126,20155830536,35.02256123,128.8186995,그랜드하브,휴게음식점·제과점,부산광역시 강서구 가덕해안로 924,Y,영업,17,2644012100-1-03560001
20210317,20155830537,35.01198933,128.8334603,더마레(THE MARE)104,휴게음식점·제과점,부산광역시 강서구 가덕해안로1169번길 22,Y,영업,17,2644012200-1-01040000
20141021,20155830538,35.01621595,128.8346008,도피오빌라,다세대주택,부산광역시 강서구 가덕해안로1169번길 62-47,Y,영업,17,2644012200-3-00090003
20141021,20155830542,35.01611666,128.8348078,파도소리 빌라,다세대주택,부산광역시 강서구 가덕해안로1169번길 62-49,Y,영업,17,2644012200-3-00090005
20150703,20155830543,35.01476797,128.8339204,하늘과바다,다세대주택,부산광역시 강서구 가덕해안로1169번길 80,Y,영업,17,2644012200-3-00230005
20190803,20155830544,35.01163721,128.8274515,창원해양경찰서 출장소,"파출소, 지구대",부산광역시 강서구 가덕해안로1207번길 16,Y,영업,17,2644012200-1-02360000
20080717,20155831019,35.02881513,128.8164533,천성보건소,보건소,부산광역시 강서구 가덕해안로821번길 100,Y,영업,17,2644012100-1-07890000
20170615,20155830773,35.17170272,128.900726,월드전장,수퍼마켓·일용품 등의 소매점,부산광역시 강서구 가락대로 1196,Y,영업,17,2644010800-1-07380034
20220502,20155830774,35.17249546,128.9010324,카페오플로우,일반음식점,부산광역시 강서구 가락대로 1206,Y,영업,17,2644010800-1-07470068
20230224,20155830775,35.17772932,128.9014727,몽썸애견운동장,일반음식점,부산광역시 강서구 가락대로 1262,Y,영업,17,2644010800-1-00630004
20130130,20155830779,35.17895829,128.9005878,수퍼마켓·일용품 등의 소매점,수퍼마켓·일용품 등의 소매점,부산광역시 강서구 가락대로 1275,Y,영업,17,2644010800-1-00730026
20180406,20155830780,35.17888898,128.9015523,그랑독,주차장,부산광역시 강서구 가락대로 1276,Y,영업,17,2644010800-1-00370004
20200921,20155830781,35.18926099,128.9039687,부산SW마이스터고등학교,고등학교,부산광역시 강서구 가락대로 1393,Y,영업,17,2644010800-1-00150000
20010523,20155831007,35.18926099,128.9039687,부산SW마이스터고등학교 기숙사A,기숙사,부산광역시 강서구 가락대로 1393,Y,영업,17,2644010800-1-00150000
20020101,20155831008,35.18926099,128.9039687,부산SW마이스터고등학교 기숙사B,기숙사,부산광역시 강서구 가락대로 1393,Y,영업,17,2644010800-1-00150000
20081031,20155831009,35.18966803,128.9038266,이상건축상사,수퍼마켓·일용품 등의 소매점,부산광역시 강서구 가락대로 1401,Y,영업,17,2644010800-1-00070002
20061004,20155831013,35.19469052,128.9022335,가락농협,금융업소 등 일반업무시설,부산광역시 강서구 가락대로 1459,Y,영업,17,2644010500-1-07300000
20180921,20155831014,35.1064448,128.8416946,송정중학교,중학교,부산광역시 강서구 가락대로 230-72,Y,영업,17,2644010900-1-14370019
20140417,20155831015,35.12682635,128.853984,국민김밥,일반음식점,부산광역시 강서구 가락대로 523,Y,영업,17,2644011300-1-12070008
20140520,20155831020,35.12694138,128.854229,거가낚시,수퍼마켓·일용품 등의 소매점,부산광역시 강서구 가락대로 525,Y,영업,17,2644011300-1-12070007
20180802,20155831021,35.13690686,128.8682793,부산국제물류도시(주)태극낚시,수퍼마켓·일용품 등의 소매점,부산광역시 강서구 가락대로 695,Y,영업,17,2644011200-1-16310005
20080904,20155831250,35.15474347,128.8819761,렛츠런파크 부산경남 본관,대피소,부산광역시 강서구 가락대로 929 (범방동),Y,영업,17,2644011600-1-18330000
20120406,20155831251,35.17119135,128.9005445,부산수상안전체험장,초등학교,부산광역시 강서구 가락대로1182번길 9,Y,영업,17,2644010800-1-07381714
20220428,20155831252,35.19220217,128.899346,부원직물,수퍼마켓·일용품 등의 소매점,부산광역시 강서구 가락대로1397번길 133-17,Y,영업,17,2644010800-1-05670009
20080121,20155831256,35.19250285,128.8992512,(주)대동테크원,수퍼마켓·일용품 등의 소매점,부산광역시 강서구 가락대로1397번길 133-9,Y,영업,17,2644010800-1-05670008
20200711,20155831257,35.19357962,128.8958858,(주)동화스포츠B동,수퍼마켓·일용품 등의 소매점,부산광역시 강서구 가락대로1397번길 195,Y,영업,17,2644010800-1-06130018
20200711,20155831258,35.19365644,128.8956935,(주)동화스포츠A동,수퍼마켓·일용품 등의 소매점,부산광역시 강서구 가락대로1397번길 197,Y,영업,17,2644010800-1-06130005
20100430,20155831486,0,0,녹산동행정복지센터,지역자치센터,부산광역시 강서구 가락대로900번가길 32,Y,영업,17,2644011600-1-18430002
20151022,20155831487,35.1395144,128.8791508,(주)대봉기연,공장,부산광역시 강서구 가리새1로 9,Y,영업,17,2644011200-1-15810006
20160504,20155831488,35.14054654,128.8865495,하이즈항공부산사업소,공장,부산광역시 강서구 가리새2로 44,Y,영업,17,2644011600-1-19210008
20151209,20155831492,35.14210784,128.8858042,건웅테크,공장,부산광역시 강서구 가리새2로 58,Y,영업,17,2644011600-1-19210001
20170927,20155831493,35.13926748,128.8826502,(주)한일정공 국제산업물류도시 공장,공장,부산광역시 강서구 가리새2로13번길 26,Y,영업,17,2644011200-1-15840003
20201223,20155831494,35.14027267,128.8879776,에스엔시스,공장,부산광역시 강서구 가리새3로 51,Y,영업,17,2644011600-1-19210005
20190423,20155831498,35.14208464,128.8870854,한라아엠에스(주),공장,부산광역시 강서구 가리새3로 73,Y,영업,17,2644011600-1-19210003
20030110,20155831499,35.18279499,128.9562133,신소마을회관,노인복지시설,부산광역시 강서구 경전철로24번길 43-22,Y,영업,17,2644010200-1-18600024
20190719,20155831500,35.21326196,128.9867234,농업기술센터,국가 또는 지자체 청사,부산광역시 강서구 공항로 1285,Y,영업,17,2644010100-1-24260002
20050620,20155831729,35.21533199,128.9885858,베데스다원,이외 사회복지시설,부산광역시 강서구 공항로 1319,Y,영업,17,2644010100-1-03930020
20160118,20155831730,35.2151153,128.9839767,트윈스라이팅,수퍼마켓·일용품 등의 소매점,부산광역시 강서구 공항로1309번길 95-5,Y,영업,17,2644010100-1-24000041
20131127,20155831731,35.21609845,128.9827851,강서고등학교,고등학교,부산광역시 강서구 공항로1309번길 96-7,Y,영업,17,2644010100-1-04210003
19980411,20155831735,35.14072108,128.94731,강변어린이집,대피소,부산광역시 강서구 공항로361번길 26 (대저2동),Y,영업,17,2644010200-1-19320001
20100610,20155831736,35.15437932,128.9378608,월포노인정,노인복지시설,부산광역시 강서구 공항로533번길 309-37,Y,영업,17,2644010200-1-42780007
20210324,20155831737,35.1720499,128.9552745,ABC주차장,주차장,부산광역시 강서구 공항로743번길 76,Y,영업,17,2644010200-1-26830000
20181119,20155819562,35.17497824,128.9585503,엠아이티지,수퍼마켓·일용품 등의 소매점,부산광역시 강서구 공항로767번길 5-8,Y,영업,17,2644010200-1-25400016
20170824,20155819563,35.17659852,128.9563785,(주)이피코,수퍼마켓·일용품 등의 소매점,부산광역시 강서구 공항로791번길 39,Y,영업,17,2644010200-1-24970002
20070530,20155819564,35.17629512,128.9554062,성창,수퍼마켓·일용품 등의 소매점,부산광역시 강서구 공항로791번길 46,Y,영업,17,2644010200-1-24940000
20070716,20155819792,35.17564548,128.956214,덕두초등학교,초등학교,부산광역시 강서구 공항로791번길 68,Y,영업,17,2644010200-1-24890001
20150817,20155819793,35.17758668,128.956294,대저고등학교,고등학교,부산광역시 강서구 공항로811번가길 46,Y,영업,17,2644010200-1-20390000
20110328,20155819794,35.18019056,128.9574082,강서브라이트센터,대피소,부산광역시 강서구 공항로811번길 10,Y,영업,17,2644010200-1-23500000
20110328,20155819797,35.18019056,128.9574082,강서브라이트센터,체육관,부산광역시 강서구 공항로811번길 10,Y,영업,17,2644010200-1-19320001
20120626,20155819798,35.1807416,128.9546206,월드주차장,주차장,부산광역시 강서구 공항로811번길 64,Y,영업,17,2644010200-1-18510005
