철도운영기관,노선명,역명,출구번호,출구별주요시설명
부산교통공사,1호선,자갈치,10,농협 하나로마트 자갈치점
부산교통공사,1호선,남포,1,부산근대역사관
부산교통공사,1호선,남포,1,용두산공원
부산교통공사,1호선,남포,1,부산중구청소년상담복지센터
부산교통공사,1호선,남포,2,남포건어물시장
부산교통공사,1호선,남포,2,자갈치시장
부산교통공사,1호선,남포,3,광복동
부산교통공사,1호선,남포,3,용두산문화의거리
부산교통공사,1호선,중앙,15,스타벅스 부산중앙역점
부산교통공사,1호선,중앙,17,부산광역시중구청
부산교통공사,1호선,중앙,17,중부경찰서
부산교통공사,1호선,부산,1,초량상해거리
부산교통공사,1호선,부산,1,봉레초등학교
부산교통공사,1호선,자갈치,6,부산신용보증재단 중부산지점
부산교통공사,1호선,자갈치,6,오션투헤븐 호텔&스파
부산교통공사,1호선,자갈치,6,자갈치시장
부산교통공사,1호선,부산,1,부산터널
부산교통공사,1호선,부산,1,초량1동 행정복지센터
부산교통공사,1호선,부산,2,부산지방보훈청
부산교통공사,1호선,부산,2,한국생산성본부(부산경남지부)
부산교통공사,1호선,부산,3,부산화교중/고등학교
부산교통공사,1호선,부산,4,교직원공제회관
부산교통공사,1호선,부산,5,부산화교중/고등학교
부산교통공사,1호선,부산,5,초량외국인상가
부산교통공사,1호선,부산,5,초량초등학교
부산교통공사,1호선,부산,6,부산역
부산교통공사,1호선,부산,6,역전치안센터
부산교통공사,1호선,부산,6,중앙동
부산교통공사,1호선,부산,7,부산지방국토관리청
부산교통공사,1호선,부산,7,초량우체국
부산교통공사,1호선,초량,1,부산지방국토관리청
부산교통공사,1호선,초량,1,부산은행 초량동지점
부산교통공사,1호선,초량,2,부산초량3동우체국
부산교통공사,1호선,초량,2,기차역방면
부산교통공사,1호선,초량,2,주택도시보증공사 부산울산지사
부산교통공사,1호선,초량,3,부산고교
부산교통공사,1호선,초량,4,제4부두방면
부산교통공사,1호선,초량,5,정발장군동상
부산교통공사,1호선,초량,5,부산고등학교
부산교통공사,1호선,초량,5,한국해양대학교 다운타운캠퍼스
부산교통공사,1호선,초량,6,부산과학체험관 
부산교통공사,1호선,초량,6,부산광역시재향군인회
부산교통공사,1호선,초량,6,초량119안전센터
부산교통공사,1호선,초량,7,초량3동 행정복지센터
부산교통공사,1호선,초량,7,일본국총영사관
부산교통공사,1호선,초량,8,초량3동
부산교통공사,1호선,초량,9,부산시립 중앙도서관 수정분관
부산교통공사,1호선,초량,9,수정1동우체국
부산교통공사,1호선,초량,9,경남여자중학교
부산교통공사,1호선,초량,9,우리은행 초량지점
부산교통공사,1호선,초량,10,근로복지공단 부산지역본부
부산교통공사,1호선,초량,10,아모레퍼시픽부산지역본부
부산교통공사,1호선,초량,12,한국부동산원 부산경남지역본부
부산교통공사,1호선,초량,12,부산광역시간호사회빌딩
부산교통공사,1호선,부산진,1,새마을금고중앙회
부산교통공사,1호선,부산진,1,고관입구
부산교통공사,1호선,부산진,1,동구보건소
부산교통공사,1호선,부산진,1,동구청
부산교통공사,1호선,부산진,1,부산국제영화고등학교
부산교통공사,1호선,부산진,1,수정동우체국
부산교통공사,1호선,부산진,1,부산YMCA
부산교통공사,1호선,부산진,5,수정2동새마을금고 본점
부산교통공사,1호선,부산진,2,연합뉴스 부산취재본부
부산교통공사,1호선,부산진,2,동구선거관리위원회
부산교통공사,1호선,부산진,2,연합뉴스
부산교통공사,1호선,부산진,2,부산화물자동차운송사업협회
부산교통공사,1호선,부산진,3,협성휴포레부산진역아파트
부산교통공사,1호선,부산진,4,부산광역시동구진로교육지원센터 드림나래
부산교통공사,1호선,부산진,5,동구청
부산교통공사,1호선,자갈치,8,정우통상(K2남포점)
부산교통공사,1호선,자갈치,10,신동아수산물종합시장
부산교통공사,1호선,자갈치,10,자갈치시장
부산교통공사,1호선,서면,3,농협은행(서면중앙지점)
부산교통공사,1호선,범일,3,범일119 안전센터
부산교통공사,1호선,범일,4,범일공구철물상가
부산교통공사,1호선,범일,4,하나은행 범일동지점
부산교통공사,1호선,범일,5,현대백화점 부산점 피트니트센터
부산교통공사,1호선,범일,5,좋은문화병원
부산교통공사,1호선,범일,6,범일공구철물상가
부산교통공사,1호선,범일,6,자유도매시장
부산교통공사,1호선,남포,4,남포동건어물시장
부산교통공사,1호선,남포,5,광복동입구
부산교통공사,1호선,남포,5,NH농협은행 부산지점
부산교통공사,1호선,남포,6,남포역지하상가
부산교통공사,1호선,남포,5,부산은행 중부지점
부산교통공사,1호선,남포,6,태종대/영도방면
부산교통공사,1호선,남포,7,한국투자증권
부산교통공사,1호선,남포,10,롯데백화점 광복점
부산교통공사,1호선,중앙,1,광복동입구
부산교통공사,1호선,중앙,1,용두산공원
부산교통공사,1호선,중앙,1,중앙동 행정복지센터
부산교통공사,1호선,중앙,1,한국해운조합 부산지부
부산교통공사,1호선,중앙,1,한국전기안전공사 부산울산지역본부
부산교통공사,1호선,중앙,2,부산항만공사 본사
부산교통공사,1호선,중앙,2,부산항연안여객터미널
부산교통공사,1호선,중앙,3,신창요양병원
부산교통공사,1호선,중앙,3,백산기념관
부산교통공사,1호선,중앙,4,부산 출입국외국인청
부산교통공사,1호선,중앙,5,부산근현대역사관 본관
부산교통공사,1호선,중앙,5,KDB산업은행 부산지점
부산교통공사,1호선,중앙,9,국민건강보험공단 부산중부지사
부산교통공사,1호선,중앙,9,부산우체국
부산교통공사,1호선,중앙,9,부산광역시 아토피/천식교육정보센터
부산교통공사,1호선,중앙,6,동원산업빌딩
부산교통공사,1호선,중앙,6,동원산업
부산교통공사,1호선,중앙,7,소상공인시장진흥공단 부산중부센터
부산교통공사,1호선,중앙,7,대청동
부산교통공사,1호선,중앙,7,SC제일은행 부산지점
부산교통공사,1호선,중앙,8,중부산세무서
부산교통공사,1호선,중앙,8,부산세관 수출입기업지원센터
부산교통공사,1호선,중앙,10,농림축산검역본부 영남지역본부별관
부산교통공사,1호선,중앙,10,부산북항마리나
부산교통공사,1호선,중앙,10,국립부산검역소
부산교통공사,1호선,중앙,10,HJ중공업 부산R&D센터
부산교통공사,1호선,중앙,11,부산동방관세사무소
부산교통공사,1호선,중앙,11,고심정사 불교대학
부산교통공사,1호선,중앙,11,대청동
부산교통공사,1호선,중앙,11,부산지방공정거래사무소
부산교통공사,1호선,중앙,11,국제식물검역인증원
부산교통공사,1호선,중앙,12,부산무역회관
부산교통공사,1호선,중앙,12,IBK기업은행 부산
부산교통공사,1호선,중앙,12,국민연금공단 중부산지사
부산교통공사,1호선,중앙,17,메리놀병원
부산교통공사,1호선,중앙,17,IBK저축은행 부산중앙지점
부산교통공사,1호선,중앙,13,40계단문화관
부산교통공사,1호선,중앙,13,캄보디아왕국영사관
부산교통공사,1호선,중앙,13,남성여자고등학교
부산교통공사,1호선,중앙,13,한국관광통역안내사협회 부산영남지부
부산교통공사,1호선,중앙,14,중구선거관리위원회
부산교통공사,1호선,중앙,14,중부소방서
부산교통공사,1호선,중앙,14,중앙치안센터
부산교통공사,1호선,중앙,14,하나은행 부산지점
부산교통공사,1호선,중앙,14,stx마린서비스㈜
부산교통공사,1호선,중앙,15,40계단문화관
부산교통공사,1호선,중앙,15,남성여자고등학교
부산교통공사,1호선,중앙,15,동아일보
부산교통공사,1호선,서면,7,김주은내과 (구/맑은숨결내과)
부산교통공사,1호선,서면,8,장창덕 치과의원
부산교통공사,1호선,서면,8,부산서면우체국
부산교통공사,1호선,서면,8,전포초등학교
부산교통공사,1호선,서면,9,부산진경찰서
부산교통공사,1호선,서면,9,부전1동우체국
부산교통공사,1호선,서면,9,영광도서
부산교통공사,1호선,서면,10,아이티윌교육센터
부산교통공사,1호선,자갈치,6,수협은행 부산지역본부
부산교통공사,1호선,자갈치,10,남항유람선선착장 
부산교통공사,1호선,자갈치,7,헌혈의집(남포센터)
부산교통공사,1호선,자갈치,7,부산창선동우체국
부산교통공사,1호선,자갈치,7,국제시장
부산교통공사,1호선,자갈치,7,대청동
부산교통공사,1호선,자갈치,7,미술의 거리
부산교통공사,1호선,자갈치,7,광복동주민센터
부산교통공사,1호선,자갈치,7,PIFF 광장
부산교통공사,1호선,자갈치,7,헌혈의집
부산교통공사,1호선,자갈치,8,자갈치시장
부산교통공사,1호선,자갈치,8,신천지주차장 전기차충전소
부산교통공사,1호선,부산진,5,부산일보사
부산교통공사,1호선,부산진,5,수정동시장
부산교통공사,1호선,부산진,6,청십자요양병원
부산교통공사,1호선,부산진,7,수정119안전센터
부산교통공사,1호선,부산진,7,경남여자고등학교
부산교통공사,1호선,부산진,7,동부경찰서
부산교통공사,1호선,부산진,7,부산진세무서
부산교통공사,1호선,부산진,7,김원묵기념 봉생병원
부산교통공사,1호선,부산진,7,수정전통시장
부산교통공사,1호선,부산진,8,부산진역철도물류센터
부산교통공사,1호선,좌천,1,부산성산교회
부산교통공사,1호선,좌천,3,안용복기념 부산포개항문화관
부산교통공사,1호선,좌천,2,부산지방 해양수산청
부산교통공사,1호선,좌천,2,남해지방해양경찰청
부산교통공사,1호선,좌천,3,정공단
부산교통공사,1호선,좌천,3,금성고등학교
