연번,쉼터명,상세주소,경도,위도
1,오름라운지,부산광역시 중구 중앙대로 지하 17 (광복지하도상가),129.036643,35.099681
2,중앙동원로의집,부산광역시 중구 중앙대로115번길 1-6 (부원APT),129.035871,35.107881
3,중앙동주민센터,부산광역시 중구 중앙대로41번길 10,129.0353323,35.1013111
4,논치쉼터,부산광역시 중구 해관로85번길 9 (중앙동4가),129.0350622,35.1067353
5,동광동할머니원로의집,부산광역시 중구 동광길111번길 11 (동광동원로의집),129.034998,35.107894
6,동광동주민센터,부산광역시 중구 동광길 105 (동광동5가),129.0352151,35.1074067
7,한태쉼터,부산광역시 중구 동광동5가 50-8,129.0343618,35.1081096
8,백산기념관쉼터,부산광역시 중구 백산길 11,129.0346544,35.1019883
9,대청파출소,부산광역시 중구 중구로 103-1,129.031379,35.105868
10,중구일자리지원센터,부산광역시 중구 중구로 97 (봉생복지 문화관),129.031195,35.105562
11,대청망양원로의집,부산광역시 중구 망양로335번길 6,129.029702,35.107901
12,대청행복원로의집,부산광역시 중구 대청로99번길 18-3,129.030921,35.104369
13,대청만우원로의집,부산광역시 중구 중구로91번안길 15 (새들맨션경로당),129.029656,35.104894
14,대청공원원로의집,부산광역시 중구 망양로355번길 37,129.028862,35.106255
15,동광동원로의집,부산광역시 중구 샘길 12,129.0329123,35.1064496
16,금수현의음악살롱,부산광역시 중구 망양로355번길 22,129.0294276,35.1076649
17,중구종합사회복지관,부산광역시 중구 망양로 309,129.028015,35.105658
18,화목원로의집,부산광역시 중구 대청북길 14 (대청동4가 근영빌라),129.0288314,35.1053265
19,대청동주민센터,부산광역시 중구 대청로99번길 14-1 (대청동2가),129.0310791,35.1042359
20,복병산체육공원,부산광역시 중구 샘길 10,129.0324618,35.1056348
21,대청쉼터,부산광역시 중구 대청로 79-1 ,129.0312588,35.1050654
22,대청마루쉼터,부산광역시 중구 중구로 71,129.0289666,35.1040494
23,청년마루,부산광역시 중구 법수길 61 (보수동1가),129.025003,35.106498
24,보수파출소,부산광역시 중구 흑교로 77,129.023374,35.10597
25,효행쉼터,부산광역시 중구 보수동1가 59-489,129.027978,35.105834
26,보수매화원로의집,부산광역시 중구 보수대로124번길 21-7,129.022813,35.106037
27,보수2가원로의집,부산광역시 중구 보수대로124번길 21-7,129.022813,35.106037
28,보수부녀원로의집,부산광역시 중구 흑교로52번길 6 (보수경노회관),129.025281,35.104217
29,보수동원로의집,부산광역시 중구 흑교로52번길 6 (보수경노회관),129.025281,35.104217
30,대림에이스원로의집,부산광역시 중구 법수길 74 (대림에이스타운상가),129.025407,35.106697
31,구름다리원로의집,부산광역시 중구 법수길 76,129.024997,35.107168
32,보수보혜원로의집,부산광역시 중구 보동길 17 (보혜원로의집),129.026851,35.104822
33,보수대밭골원로의집,부산광역시 중구 고가길 32 (보수동1가),129.0261734,35.1046002
34,중구노인복지관,부산광역시 중구 책방골목길 3-1,129.026165,35.104283
35,죽화원로의집,부산광역시 중구 망양로 252 (보수동1가 ),129.0246204,35.1084731
36,보수새마을원로의집,부산광역시 중구 망양로319번길 26,129.0269725,35.1065764
37,보수동행정주민센터,부산광역시 중구 보수대로140번길 61,129.024571,35.106146
38,보수중복도로쉼터,부산광역시 중구 보수동1가 60-96,129.0270093,35.1048965
39,보수공영주차장쉼터,부산광역시 중구 중구로75번길 25,129.0278727,35.10389
40,샘물쉼터,부산광역시 중구 보수동3가 19,129.0214923,35.1049854
41,부평희망원로의집,부산광역시 중구 흑교로25번길 25-1,129.022378,35.101885
42,부평동주민센터,부산광역시 중구 중구로29번길 23,129.026565,35.100351
43,부평동원로의집,부산광역시 중구 부평동2가 65-2,129.025387,35.100631
44,청년작당소,부산광역시 중구 광복중앙로 13,129.03075,35.100512
45,광복로문화다락,부산광역시 중구 광복로 56-12,129.031153,35.098965
46,창선치안센터,부산광역시 중구 광복중앙로 3,129.031131,35.099534
47,광복동주민센터,부산광역시 중구 광복로55번길 10 (신창동1가),129.0304032,35.0999854
48,광복쉼터,부산광역시 중구 대청로90번길 6-1 ,129.0352925,35.0983769
49,부산청년센터,부산광역시 중구 자갈치해안로 52 (자갈치시장),129.03112,35.096719
50,남포동주민센터,부산광역시 중구 자갈치로 68-1 (남포동4가),129.0316692,35.0973586
51,우남이채롬원로의집,부산광역시 중구 초량상로 13 (우남이채롬101동),129.035275,35.113651
52,대명원로의집,부산광역시 중구 중구로 182-6,129.034818,35.110852
53,부산터널옆화단,부산광역시 중구 영주동 470-9,129.033861,35.112107
54,영주1동주민센터,부산광역시 중구 대영로224번길 10,129.035029,35.111119
55,영주1동원로의집,부산광역시 중구 초량상로7번길 11,129.034131,35.113223
56,하늘쉼터,부산광역시 중구 영주동 675-1,129.0350239,35.1101545
57,언덕마루쉼터,부산광역시 중구 영주동 489-2,129.0331757,35.111616
58,박기종기념관,부산광역시 중구 망양로 362,129.031057,35.109258
59,영주어린이공원,부산광역시 중구 영주동 274-11,129.030768,35.111506
60,중구웰빙체육관,부산광역시 중구 영주로 89,129.031611,35.114805
61,시민1호동원로의집,부산광역시 중구 망양로 421 (시민APT1호동),129.029685,35.114534
62,은하아파트원로의집,부산광역시 중구 영주로 87 (은하아파트2호동),129.030912,35.114438
63,동아11블럭원로의집,부산광역시 중구 영주로 65 (동아아파트101동),129.029825,35.112622
64,동아9블럭원로의집,부산광역시 중구 영주로 73 (동아아파트103동),129.030045,35.113876
65,영주금호타운원로의집,부산광역시 중구 영주로 49 (금호타운상가동),129.030204,35.111397
66,영주충효원로의집,부산광역시 중구 동영로73번길 3,129.031934,35.111809
67,자유원로의집,부산광역시 중구 망양로 371-3 (영주동),129.0302342,35.1097896
68,영주아파트원로의집,부산광역시 중구 망양로 396 (영주동),129.0299714,35.1126859
69,영주2동원로의집,부산광역시 중구 영초길 103 (영주동),129.0325892,35.1141823
70,영주2동주민센터,부산광역시 중구 동영로 71-2,129.031823,35.111592
71,중구노인복지관분관,부산광역시 중구 영주로 8-1,129.032526,35.11016
72,산리마을회관,부산광역시 중구 영주로 21,129.0313759,35.109501
73,영주동공영주차장쉼터,부산광역시 중구 영주동 463-3,129.0321625,35.1110055
74,서구종합사회복지관,부산광역시 서구 망양로193번길 104,129.026055,35.110952
75,서구장애인복지관,부산광역시 서구 보수대로154번길 36,129.023568,35.110744
76,동대신1동주민센터,부산광역시 서구 구덕로280번길 32 (동대신동1가),129.0202135,35.1096141
77,장수동일경로당,부산광역시 서구 망양로 224-3 (동대신동1가),129.0244997,35.1105905
78,동대신교쌈지공원,부산광역시 서구 동대신동2가 77-117,129.0224813,35.1144633
79,동대신2동주민센터,부산광역시 서구 보동길275번길 9 (동대신동2가),129.0232337,35.112958
80,서부동대2부녀경로당,부산광역시 서구 보수대로210번길 2 (동대신동2가),129.0206963,35.1139102
81,구덕골경로당,부산광역시 서구 보수대로230번길 17 (동대신동3가),129.0194169,35.115514
82,동대신3동주민센터,부산광역시 서구 대영로73번길 92,129.017254,35.114461
83,서대신1동주민센터,부산광역시 서구 구덕로315번길 49 (서대신동2가),129.0143904,35.1110951
84,서대2경로당,부산광역시 서구 대티로 129-5 (서대신동2가),129.0094739,35.1107572
85,산월경로당,부산광역시 서구 해돋이로 381,129.012321,35.106489
86,한새마을1080공유센터,부산광역시 서구 대티로179번길 49-1 (서대신동3가),129.0130305,35.1136842
87,서대신3동주민센터,부산광역시 서구 대신로 27 (서대신동3가),129.0119362,35.1134758
88,종단크레킹숲길꽃마을시장시점,부산광역시 서구 서대신동3가 산 23-3,129.007026,35.1272213
89,시약로공영주차장하부쉼터,부산광역시 서구 서대신동3가 31-45,129.0096458,35.119461
90,서대신4동주민센터,부산광역시 서구 꽃마을로 58 (서대신동3가),129.0117672,35.1192263
91,꽃마을부녀경로당,부산광역시 서구 꽃마을로163번길 7 (서대신동3가),129.0068266,35.1273566
92,부민경로당맞은편파고라,부산광역시 서구 해돋이로 321  (부민동3가),129.0170553,35.1050958
93,부민동주민센터,부산광역시 서구 임시수도기념로 22-11 (부민동3가),129.0184888,35.103819
94,부민노인복지관,부산광역시 서구 부용로 30 (부용동2가),129.0180919,35.1074594
95,연탄은행더함센터작은도서관,부산광역시 서구 구덕로157번길 33 (아미동2가),129.0181106,35.0987192
96,천부경로당,부산광역시 서구 아미로 19-1 (아미동2가),129.01195,35.098752
97,송이경로당,부산광역시 서구 천마산로 416 (아미동2가),129.0145621,35.0984054
98,아미동주민센터,부산광역시 서구 해돋이로269번길 17 (아미동2가),129.015412,35.100207
99,아미1경로당,부산광역시 서구 구덕로185번길 28 (아미동2가),129.0182796,35.1013723
100,초장동주민쉼터2층,부산광역시 서구 초장로 37 (초장동),129.0204898,35.0954735
101,초향경로당,부산광역시 서구 해돋이로 182 (초장동),129.018454,35.0934281
102,초장동주민센터,부산광역시 서구 초장로27번길 32,129.020265,35.095971
103,부산기독교종합사회복지관,부산광역시 서구 까치고개로229번길 40 (부산기독교종합사회복지관),129.021105,35.101398
104,서구청사소공원,부산광역시 서구 구덕로 120 (서구청),129.023883,35.097582
105,서구청본관1층민원실,부산광역시 서구 구덕로 120 (서구청),129.023883,35.097582
106,산해할머니경로당,부산광역시 서구 천마로205번길 53 (충무동2가),129.0218416,35.0958356
107,산해경로당,부산광역시 서구 천마로205번길 53 (충무동2가),129.0218309,35.0958532
108,충무경로당,부산광역시 서구 까치고개로 233-2 (토성동2가),129.0213373,35.0998801
109,충무동100년가로공원,부산광역시 서구 천마로 232-2 (충무동2가),129.0220106,35.0959782
110,충무동주민센터,부산광역시 서구 구덕로148번길 16,129.021637,35.098074
111,남일경로당,부산광역시 서구 천마로 176 (남부민동),129.0228716,35.091262
112,천마경로당,부산광역시 서구 해돋이로 156 (남부민동),129.0199479,35.0916702
113,남부민1동주민센터앞마당,부산광역시 서구 충무대로255번길 5-26,129.0233963,35.0927783
114,남부민1동주민센터,부산광역시 서구 충무대로255번길 5-26 (남부민동),129.0233034,35.0927522
115,부암경로당,부산광역시 서구 천해로34번길 1 (남부민동),129.015871,35.084388
116,상조경로당,부산광역시 서구 해돋이로 55,129.019324,35.08435
117,샛디체력단련장,부산광역시 서구 해돋이로 59,129.019595,35.084686
118,남부민2동주민센터,부산광역시 서구 천마로 87,129.020528,35.084485
119,정림경로당,부산광역시 서구 감천로 271 (암남동 송도정림비치타운),129.0174401,35.0805512
120,사랑쉼표,부산광역시 서구 천마로 25 (암남동),129.0203,35.0806
121,암남동주민센터,부산광역시 서구 충무대로 83 (암남동),129.0207714,35.0798598
122,서구노인복지관,부산광역시 서구 장군산로46번길 21,129.014312,35.073125
123,초일부녀경로당,부산광역시 동구 망양로478번길 16,129.034631,35.117127
124,초강부녀경로당,부산광역시 동구 초량상로35번길 18,129.035708,35.115614
125,이바구정거장(캐리어보관소),부산광역시 동구 초량동 994-315,129.0360305,35.1170017
126,한국방송통신전파진흥원(KCA)부산본부,부산광역시 동구 초량중로 29 (초량동),129.0368271,35.1147132
127,초량1동행정복지센터,부산광역시 동구 중앙대로179번길 33 (초량동),129.0369639,35.1139519
