연번,쉼터명,주소,경도,위도
1,중앙동주민센터,부산광역시 중구 중앙대로41번길 10,129.0353323,35.1013111
2,동광동주민센터,부산광역시 중구 동광길 105,129.0352151,35.1074067
3,금수현의음악살롱,부산광역시 중구 망양로355번길 22,129.0294276,35.1076649
4,동광동원로의집,부산광역시 중구 샘길 12,129.0329123,35.1064496
5,중구종합사회복지관,부산광역시 중구 망양로 309,129.028015,35.105658
6,화목원로의집,부산광역시 중구 대청북길 14,129.0288314,35.1053265
7,대청동주민센터,부산광역시 중구 대청로99번길 14-1 ,129.0310791,35.1042359
8,보수대밭골원로의집,부산광역시 중구 고가길 32,129.0261734,35.1046002
9,죽화원로의집,부산광역시 중구 망양로 252,129.0246204,35.1084731
10,보수새마을원로의집,부산광역시 중구 망양로319번길 26,129.0269725,35.1065764
11,보수동행정주민센터,부산광역시 중구 보수대로140번길 61,129.024571,35.106146
12,중구노인복지관,부산광역시 중구 책방골목길 3-1 ,129.026165,35.104283
13,부평동주민센터,부산광역시 중구 중구로29번길 23,129.026565,35.100351
14,부평동원로의집,부산광역시 중구 중구로29번길 46,129.025387,35.100631
15,광복동주민센터,부산광역시 중구 광복로55번길 10,129.0304032,35.0999854
16,남포동주민센터,부산광역시 중구 자갈치로 68-1 ,129.0316692,35.0973586
17,영주1동주민센터,부산광역시 중구 대영로224번길 10,129.035029,35.111119
18,영주1동원로의집,부산광역시 중구 초량상로7번길 11,129.034131,35.113223
19,자유원로의집,부산광역시 중구 망양로 371-3 ,129.0302342,35.1097896
20,영주아파트원로의집,부산광역시 중구 망양로 396,129.0299714,35.1126859
21,산리마을회관,부산광역시 중구 영주로 21,129.0313759,35.109501
22,중구노인복지관분관,부산광역시 중구 영주로 8-1 ,129.032526,35.11016
23,영주2동원로의집,부산광역시 중구 영초길 103,129.0325892,35.1141823
24,영주2동주민센터,부산광역시 중구 동영로 71-2 ,129.031823,35.111592
25,중앙동 원로의집,부산광역시 중구 중앙대로115번길 1-6(809호),129.035849,35.107874
26,동광동할머니 원로의집,부산광역시 중구 동광길111번길 11,129.034999,35.107893
27,대청공원 원로의집,부산광역시 중구 망양로355번길 37,129.028862,35.106257
28,대청만우 원로의집,부산광역시 중구 중구로91번안길 15,129.029655,35.104898
29,대청행복 원로의집,부산광역시 중구 대청로99번길 18-3,129.030926,35.10438
30,대청망양 원로의집,부산광역시 중구 망양로335번길 6,129.029698,35.107899
31,보수보혜 원로의집,부산광역시 중구 보동길 17,129.026846,35.104823
32,구름다리 원로의집,부산광역시 중구 법수길 76,129.025369,35.107312
33,대림에이스 원로의집,부산광역시 중구 법수길 74,129.025379,35.106738
34,보수동 원로의집,부산광역시 중구 흑교로52번길 6(1층),129.025279,35.104225
35,보수부녀 원로의집,부산광역시 중구 흑교로52번길 6(2층),129.025279,35.104225
36,보수2가 원로의집,부산광역시 중구 보수대로124번길 21-7(2층),129.022814,35.106043
37,보수매화 원로의집,부산광역시 중구 보수대로124번길 21-7(1층),129.022813,35.106041
38,부평희망 원로의집,부산광역시 중구 흑교로25번길 25-1,129.022373,35.101889
39,대명 원로의집,부산광역시 중구 중구로 182-6(303호),129.034817,35.110855
40,우남이채롬 원로의집,부산광역시 중구 초량상로 13,129.035275,35.113659
41,영주충효 원로의집,부산광역시 중구 동영로73번길 3,129.031932,35.111811
42,영주금호타운 원로의집,부산광역시 중구 영주로 49,129.030204,35.111406
43,동아9블럭 원로의집,부산광역시 중구 영주로 73,129.030042,35.113879
44,동아11블럭 원로의집,부산광역시 중구 영주로 65,129.029829,35.112628
45,은하아파트 원로의집,부산광역시 중구 영주로 87(3공구아파트 2동 1층 106호),129.030912,35.114442
46,시민1호동 원로의집,부산광역시 중구 망양로 421,129.029705,35.114562
47,중구 일자리지원센터,"부산광역시 중구 중구로 97, 다누리복지회관 4층",129.031183,35.105564
48,부산청년센터,"부산 중구 자갈치해안로 52, 4층",129.031127,35.096731
49,오름라운지,부산 중구 중앙대로 17(지하상가),129.037024,35.099938
50,청년마루,부산광역시 중구 법수길 61 (1층),129.02493,35.10662
51,청년작당소,부산 중구 광복중앙로 13(BNK아트시네마 3층),129.030754,35.100515
52,동대신1동주민센터,부산광역시 서구 구덕로280번길 32,129.0202135,35.1096141
53,장수동일경로당,부산광역시 서구 망양로 224-3 ,129.0244997,35.1105905
54,동대신2동주민센터,부산광역시 서구 보동길275번길 9,129.0232337,35.112958
55,서부동대2부녀경로당,부산광역시 서구 보수대로210번길 2,129.0206963,35.1139102
