시설명,분점명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,블로그 주소,페이스북 주소,인스타 주소,휴무일,운영시간,무료주차 가능여부,유료주차 가능여부,입장료 유무 여부,장애인용 출입문,휠체어 대여 가능 여부,장애인 화장실 유무,장애인 전용 주차장 여부,대형주차장 가능여부,시각장애인 안내견 동반 가능 여부,점자 가이드 여부,오디오 가이드(한국어),최종작성일
40계단거리,,문화관광/명소,관광지,유명관광지,부산광역시,중구,중앙동,,20 번지,,,35.10338417,129.035636,,,부산광역시 중구 중앙동3가 20,051-600-4044,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,Y,N,N,2022-11-25
40계단문화관,,전시/공연,전시/기념관,대형기념관/묘역,부산광역시,중구,동광동,,44-3 번지,동광길,49 번,35.10500721,129.03448,48927,부산광역시 중구 동광길 49,부산광역시 중구 동광동5가 44-3,051-600-4046,https://url.kr/ltpdhr,정보없음,정보없음,정보없음,매주 월요일,"평일(화-금) 10:00-18:00, 주말 10:00-17:00",Y,N,N,Y,N,N,Y,N,Y,N,N,2022-11-25
가든스테이지,,전시/공연,영화/연극/공연,N,부산광역시,기장군,기장읍,시랑리,산 46 번지,동부산관광로,42 번,35.19606181,129.213207,46083,부산광역시 기장군 기장읍 동부산광역시관광로 42,부산광역시 기장군 기장읍 시랑리 산 46,1661-2000,www.lotteworld.com,정보없음,정보없음,정보없음,연중무휴,정보없음,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
가람아트홀,,전시/공연,영화/연극/공연,대형예술센터,부산광역시,남구,대연동,,965-2 번지,유엔평화로76번길,26 번,35.12771884,129.092786,48533,부산광역시 남구 유엔평화로76번길 26,부산광역시 남구 대연동 965-2,051-621-6669,garamarthall.modoo.at/,정보없음,정보없음,www.instagram.com/garamarthall/,공연별 상이,공연일정에따라 유동적,Y,N,Y,N,N,N,N,N,N,N,N,2022-11-25
가마골소극장,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,연제구,거제동,,18-22 번지,월드컵대로,190 번,35.18835625,129.076123,47521,부산광역시 연제구 월드컵대로 190,부산광역시 연제구 거제동 18-22,051-723-0568,kamagol.modoo.at/,정보없음,정보없음,정보없음,"매주 월요일, 공휴일",09:00-22:00,Y,N,Y,Y,N,N,N,Y,N,N,N,2022-11-25
가야공원유원지,,문화관광/명소,관광지,일반유원지/일반놀이공원,부산광역시,부산진구,가야동,,산 44-5 번지,,,35.14609828,129.028145,47390,,부산광역시 부산진구 가야동 산 44-5,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
가온아트홀,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,동구,범일동,,830-9 번지,자성로133번길,10 번,35.13820831,129.064915,48742,부산광역시 동구 자성로133번길 10,부산광역시 동구 범일동 830-9,1600-1602,https://url.kr/mw5efr,정보없음,정보없음,정보없음,연중무휴,10:00-22:00,N,Y,Y,Y,N,N,Y,Y,Y,N,N,2022-11-25
가톨릭소극장,,전시/공연,영화/연극/공연,N,부산광역시,중구,대청동,,81-1 번지,중구로,71 번,35.10435395,129.028573,48968,부산광역시 중구 중구로 71,부산광역시 중구 대청동4가 81-1,051-462-1870,www.bccenter.or.kr/,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",평일 09:00-17:00,N,Y,N,Y,N,Y,Y,N,Y,Y,N,2022-11-25
감만창의문화촌,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,남구,감만동,,78 번지,우암로,84-1 번,35.11844574,129.081328,48543,부산광역시 남구 우암로 84-1,부산광역시 남구 감만동 78,051-745-7246,https://url.kr/ge1vyr,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",09:00-18:00,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,2022-11-25
감지해변,,문화관광/명소,관광지,해수욕장,부산광역시,영도구,동삼동,,,,,35.07774842,129.071639,,,부산광역시 영도구 동삼동,051-419-4064,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
감천문화마을작은박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,사하구,감천동,,1-5 번지,감내2로,191 번,35.09797021,129.010432,49368,부산광역시 사하구 감내2로 191,부산광역시 사하구 감천동 1-5,051-204-1444,www.gamcheon.or.kr/,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,Y,N,N,2022-11-25
강서다목적운동장,,레저/체육/공원,대형체육시설,공설/시민운동장,부산광역시,강서구,대저2동,,1200-3 번지,,,35.19550632,128.966267,46719,,부산광역시 강서구 대저2동 1200-3,051-310-6022,https://url.kr/4eistn,정보없음,정보없음,정보없음,연중무휴,상시개방,Y,N,N,N,N,Y,Y,Y,Y,N,N,2022-11-25
강서체육공원,,레저/체육/공원,공원,대형시민/도심공원,부산광역시,강서구,대저1동,,2155 번지,체육공원로,43 번,35.21095917,128.972212,46703,부산광역시 강서구 체육공원로 43,부산광역시 강서구 대저1동 2155,051-970-1200,www.busan.go.kr/stadium/sfstadiumgsintro,정보없음,정보없음,정보없음,연중무휴,상시개방,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,2022-11-25
강서체육공원양궁경기장,,레저/체육/공원,대형체육시설,주/보조경기장,부산광역시,강서구,대저1동,,2155 번지,체육공원로,43 번,35.21095917,128.972212,46703,부산광역시 강서구 체육공원로 43,부산광역시 강서구 대저1동 2155,051-970-1200,https://url.kr/lyz1wj,정보없음,정보없음,정보없음,매주 월요일,09:00-18:00,Y,N,Y,N,N,Y,Y,Y,Y,N,N,2022-11-25
