구군명,시설유형,시설명,도로명주소,위도,경도,전화번호,정원,데이터기준일자
수영구,장애인지역사회재활시설,참누리 장애인주간보호시설,"부산광역시 수영구 금련로43번길 54 (망미동, 부산종합사회복지관)",35.171141,129.098666,051-755-3476,18,2024-01-01
사상구,장애인주간보호시설,예원 주간보호센터,부산광역시 사상구 사상로 84-8(감전동),35.15507921,128.9926233,051-313-6885,15,2025-01-10
사상구,점자도서관,부산점자도서관,부산광역시 사상구 덕상로72번길 9(덕포2동),35.17810596,128.9898076,051-302-9010,0,2025-01-10
사상구,장애인보호작업장,사상구 장애인 근로작업장,"부산광역시 사상구 모라로192번길 2, 1층, 2층(모라동, 사상구 장애인근로작업장)",35.18542862,129.0003602,051-304-9747,30,2025-01-10
사상구,장애인보호작업장,한마음 직업재활원,"부산광역시 사상구 광장로 103번길 34, 1층(괘법동)",35.16438412,128.9879178,051-325-7300,20,2025-01-10
사상구,장애인보호작업장,지원 직업재활원,부산광역시 사상구 운산로 77(덕포1동),35.1676099,128.9847515,051-327-7720,20,2025-01-10
사상구,공동생활가정,꾸미네집 공동생활가정,"부산광역시 백양대로 879, 102동 105호(모라1동, 동원아파트)",35.18548228,128.990556,051-302-0300,4,2025-01-10
사상구,공동생활가정,밀알의집 공동생활가정,"부산광역시 주감로 207-6, 101동 2005호 (주례2동, 창우블루빌아파트)",35.15208498,129.0091594,051-311-6229,4,2025-01-10
사상구,공동생활가정,진주홈 공동생활가정,"부산광역시 사상구 사상로310번길 54, 1동 510호 (덕포1동, 유원아파트)",35.17101263,128.9864173,051-342-6864,4,2025-01-10
사상구,공동생활가정,체리동산 공동생활가정,부산광역시 사상구 가야대로366번길 107 (주례2동),35.14631773,129.0132693,051-311-7006,4,2025-01-10
사상구,공동생활가정,체리동산 공동생활가정 2호,부산광역시 사상구 가야대로366번길 105(주례2동),35.14637254,129.0131822,051-312-7005,4,2025-01-10
수영구,장애인지역사회재활시설,부산가톨릭농아인복지회 주간보호시설,부산광역시 수영구 광일로29번길 59 (광안동),35.160019,129.110857,051-751-8693,16,2024-01-01
사상구,장애인주간보호시설,사상구장애인복지관 부설주간보호센터,부산광역시 사상구 모라로192번길 21 (모라3동),35.18490104,129.0009355,051-986-4030,14,2025-01-10
사상구,장애인주간보호시설,체리동산 주간보호센터,부산광역시 사상구 가야대로366번길 107 (주례2동),35.14631773,129.0132693,051-314-7007,15,2025-01-10
부산진구,장애인거주시설,새들처럼,부산광역시 부산진구 양지로17번길 10-1(양정동),35.16905312,129.0705791,051-809-5670,20,2025-12-09
부산진구,장애인단기거주시설,헬렌의집,부산광역시 부산진구 양지로 29(양정동),37.45808835,126.7143598,051-852-1055,15,2025-12-09
부산진구,공동생활가정,아순타의집,"부산광역시 부산진구 개금본동로17번길 12 (개금동), 301호",35.15868328,129.0241684,051-864-2320,4,2025-12-09
부산진구,공동생활가정,어울림홈,부산광역시 부산진구 가야대로679번길166 가야화신타운 101-602,35.15553726,129.0379362,051-902-2272,4,2025-12-09
부산진구,장애인직업재활시설,신애직업재활원,부산광역시 부산진구 성지로62번길 40 (초읍동),35.17771616,129.0561463,051-902-9128,45,2025-12-09
부산진구,장애인직업재활시설,동인직업재활센터,부산광역시 부산진구 당감로45번길 24 (당감동),35.16573365,129.0377476,051-807-6877,30,2025-12-09
부산진구,장애인직업재활시설,토리직업재활센터,부산광역시 부산진구 마철로51 (당감동),35.1580843,129.0457175,051-892-9800,21,2025-12-09
부산진구,장애인직업재활시설,부산진구장애인 보호작업장,부산광역시 부산진구 전포대로300번길 6 (전포동),35.16404711,129.0658484,051-710-8190,30,2025-12-09
부산진구,장애인직업재활시설,부산장애인직업적응훈련센터,"부산광역시 부산진구 동성로112번나길 5, 3층(전포동)",35.15635258,129.0603369,051-926-0522,30,2025-12-09
부산진구,장애인지역사회재활시설,부산진구장애인복지관,부산광역시 부산진구 전포대로300번길 6 (전포동),35.16404711,129.0658484,051-808-8190,15,2025-12-09
부산진구,장애인지역사회재활시설,참사랑장애인주간보호센터,부산광역시 부산진구 가야대로 454번길 16 (개금동),35.15237684,129.0216418,051-892-2005,15,2025-12-09
부산진구,장애인거주시설,신애재활원,부산광역시 부산진구 성지로62번길 40 (초읍동),35.17771616,129.0561463,051-816-9128,69,2025-12-09
