가맹점 명,주소,데이터기준일자,위도,경도
행복약국,부산 동구 중앙대로 365,2026-04-24,35.12853787,129.0480088
주공할인점,부산 부산진구 백양관문로 25-9,2026-04-24,35.16121752,129.0305073
약국Revive,부산 서구 보수대로280번길 56,2026-04-24,35.12067561,129.0162598
케이크아웃 부산,부산 부산진구 서전로46번길 32,2026-04-24,35.1563196,129.0647198
예가타일 명지점,부산 강서구 명지국제5로148번길 16-2,2026-04-24,35.10681621,128.9228912
광안목,부산 수영구 광남로 156,2026-04-24,35.15498699,129.1184264
키튼 커피,부산 부산진구 서전로47번길 27,2026-04-24,35.15911939,129.0645682
비본,부산 동래구 명륜로129번길 51,2026-04-24,35.20522515,129.0793925
메탈헤어컷팅스튜디오(Metal hair cutting studio),부산 부산진구  서전로68번길,2026-04-24,35.15479919,129.0672327
플랜트 스터디카페 연산점,부산 연제구 쌍미천로 175-2,2026-04-24,35.18835664,129.0872054
재희상회,부산 수영구 민락수변로 1,2026-04-24,35.1555589,129.1238214
22구녕,부산 부산진구 진남로 499-1,2026-04-24,35.16880136,129.0705906
베이프마스터동래점,부산 동래구 명륜로129번가길 8,2026-04-24,35.20563232,129.0809583
건어물안주,부산 강서구 명지국제12로 25,2026-04-24,35.10487922,128.923877
낭만포차,부산 강서구 명지국제12로29번길 2,2026-04-24,35.10478593,128.9245362
계룡함바식당,부산 사하구 윤공단로 25-2,2026-04-24,35.05491114,128.9674191
더벤티 수영역점,부산 수영구 수영로 669,2026-04-24,35.16557116,129.1144835
리브동물의료센터,부산 동래구 충렬대로125번길 6,2026-04-24,35.20614924,129.074574
요가만,부산 해운대구 마린시티2로 2,2026-04-24,35.15932559,129.144242
로이보부상,부산 강서구 명지국제6로 99,2026-04-24,35.09260384,128.9099052
보나트리호텔,부산 수영구 광안해변로284번길 3,2026-04-24,35.15577553,129.1250287
컴포즈커피 만덕상계점,부산 북구 만덕1로 11,2026-04-24,35.21396979,129.0361588
신성상사,부산 사상구 괘감로 37,2026-04-24,35.15975522,128.9804344
초월스터디카페 서면점,부산 부산진구 동천로 59,2026-04-24,35.15402095,129.0621257
990한줄애김밥 명지오션시티점,부산 강서구 명지오션시티3로 7,2026-04-24,35.08362847,128.9029809
더브라운테이블,부산 금정구 오륜대로 57,2026-04-24,35.24467531,129.096872
돈바라기,부산 동래구 여고북로 220,2026-04-24,35.20246061,129.0766567
텐퍼센트커피 용호사거리점,부산 남구 동명로 148,2026-04-24,35.11932866,129.112923
다온정육점,부산 수영구 과정로41번길 14,2026-04-24,35.17516514,129.1067562
원세라믹,부산 금정구 서곡로 6-1,2026-04-24,35.2158767,129.1063973
크림 인터내셔널,부산 사상구 사상로425번길 39,2026-04-24,35.18262549,128.9838052
퍼짱(Pho Trang),부산 중구 충장대로9번길 21,2026-04-24,35.10721755,129.0374449
미래약국,부산 수영구 수영로 386-1,2026-04-24,35.14091571,129.1071514
알티멘토수학교습소,부산 수영구 광안로21번가길 21,2026-04-24,35.15679158,129.1163473
번창유통,부산 해운대구 송정중앙로39번길 11,2026-04-24,35.18259667,129.2047891
제제살롱,부산 북구 만덕대로155번길 9,2026-04-24,35.21375947,129.0216121
수약국,부산 동래구 온천장로 75,2026-04-24,35.21812198,129.0819708
브레인 리더스,부산 기장군 일광읍 해빛2로 21,2026-04-24,35.26905844,129.2261841
차이,부산 부산진구 중앙대로 821,2026-04-24,35.16518239,129.0629295
정가네 국밥,부산 금정구 부곡로 107,2026-04-24,35.22548538,129.0915165
주식회사 맞소잉,부산 수영구 수영성로 33-8,2026-04-24,35.16999654,129.1159839
