연번,쉼터명,상세주소,경도,위도
1,KT 로이모바일 문현점,남구 지게골로 24 (문현동),129.069164363912,35.1355836148169
2,KT 유니아폴로 서동점,금정구 서동로 150-1 (서동),129.103010884828,35.2147743830611
3,KT (주)뉴굿타임 부산대점,금정구 금강로 264 1층 KT 매장 (장전동),129.085303869701,35.2315823599279
4,KT (주)뉴굿타임 연산점,연제구 과정로 145 (연산동),129.106868766001,35.1843292327075
5,KT YG 반여점,해운대구 선수촌로 91 1층 (반여동),129.119156670089,35.2018891470506
6,KT 가온 당감점,부산진구 당감로 19 1층 가온_당감점 (당감동),129.039489548783,35.1634097009894
7,KT 가온 사상로점,사상구 사상로269번길 25 1층 (덕포동),128.980810795673,35.1690186545594
8,KT 금동 정관점,기장군 정관읍 정관로 569 113호 (제일타워),129.176253663324,35.3217049114736
9,KT 금동 정관2호점,기장군 정관읍 정관로 561 110호 (정관타워),129.175370982573,35.322012224392
10,KT 금동 연산점,연제구 고분로 30 (연산동),129.085671517112,35.1855117272962
11,KT 금동 일광점,기장군 일광읍 해빛1로 5 1층 101호 (센텀타워),129.225785772638,35.2659628750705
12,KT (주)리더스컴퍼니 사직중앙점,동래구 사직북로 9 1층 KT 매장 (사직동),129.060539563743,35.1968213185533
13,KT (주)리더스컴퍼니 사직점,동래구 사직북로 33 KT매장 (사직동),129.059914159997,35.1988871415036
14,KT (주)리더스컴퍼니 미남점,동래구 아시아드대로 195 해피라인 1층 24 (온천동),129.065270457595,35.2019163013048
15,KT WNC 남산역점,"금정구 중앙대로 2033 1층 WNC_남산역점 (남산동, 정암프라자)",129.092252114728,35.2658181688279
16,KT 천우 재송점,"해운대구 재반로 118 1층 103호 KT 천우모바일 (재송동, 정훈빌딩)",129.126868003819,35.1889112303169
17,KT (주)디에이치커뮤니케이션 개금시장점,부산진구 가야대로 488 (개금동),129.025381757665,35.1528937332725
18,KT (주)디에이치커뮤니케이션 서면중앙점,부산진구 중앙대로692번길 25 1층 KT매장 (부전동),129.060625213734,35.1545895352068
19,KT (주)디에이치커뮤니케이션 서면롯데점,부산진구 가야대로 773-1 (부전동),129.056171059109,35.157904919676
20,KT (주)디에이치커뮤니케이션 초량점,동구 중앙대로 207 (초량동),129.039656457217,35.1158107806513
21,KT (주)디에이치커뮤니케이션 쥬디스점,부산진구 중앙대로 694 (부전동),129.059622391915,35.1547273493547
22,KT (주)디에이치커뮤니케이션 서면2호점,"부산진구 중앙대로 700 1층 KT (부전동, 고려빌딩)",129.059521128307,35.1552457980519
23,KT (주)디에이치커뮤니케이션 범일점,동구 범일로102번길 2 1층 KT매장 (범일동),129.059678175896,35.1388851157993
24,KT (주)디에이치커뮤니케이션 경성대점,"남구 수영로 294 1층 제101호 (대연동, 동일스위트)",129.098649796796,35.1362411288397
25,KT (주)디에이치커뮤니케이션 장산점,"해운대구 세실로 75 1층 102호 (좌동, 일진빌딩)",129.176768537085,35.1712911978093
