NO,설치위치,전화번호,도로명주소,지번주소,위도,경도,카카오_매칭주소
1,(사)한국건강관리협회부산광역시동부지부(동관 7층),051-553-6400,"부산광역시 동래구 충렬대로 145, 한국건강관리협회부산지부 (온천동)",부산광역시 동래구 온천동 1438-2 한국건강관리협회부산지부,35.2053834435349,129.076565396215,부산 동래구 충렬대로 145
2,(사)한국건강관리협회부산광역시동부지부(서관 1층),051-553-6400,"부산광역시 동래구 충렬대로 145, 한국건강관리협회부산지부 (온천동)",부산광역시 동래구 온천동 1438-2 한국건강관리협회부산지부,35.2053834435349,129.076565396215,부산 동래구 충렬대로 145
3,(재)부산문화회관(중극장 로비),051-607-6000,"부산광역시 남구 유엔평화로76번길 1, 부산문화회관 (대연동)",부산광역시 남구 대연동 848-4 부산문화회관,35.1271849347319,129.093478083809,부산 남구 유엔평화로76번길 1
4,(재)부산문화회관(대극장 로비),051-607-6000,"부산광역시 남구 유엔평화로76번길 1, 부산문화회관 (대연동)",부산광역시 남구 대연동 848-4 부산문화회관,35.1271849347319,129.093478083809,부산 남구 유엔평화로76번길 1
5,(재)한호기독교선교회일신기독병원(내시경 센터),051-630-0436,"부산광역시 동구 정공단로 27, 일신기독병원 (좌천동)",부산광역시 동구 좌천동 471-1 일신기독병원,35.1357753221213,129.054416899466,부산 동구 정공단로 27
6,(재)한호기독선교회정관일신기독병원(7병동),051-780-0671,부산광역시 기장군 정관읍 정관6로 31,부산광역시 기장군 정관읍 매학리 720-7,35.3196973562916,129.177451804668,부산 기장군 정관읍 정관6로 31
7,(주)강남(시운전 시 사용),051-260-6032,부산광역시 사하구 구평로16번길 71(구평동),부산광역시 사하구 구평동 399,35.0695927407683,128.994478025741,부산 사하구 구평로16번길 71
8,(주)강남(본관 1층),051-260-6032,부산광역시 사하구 구평로16번길 71 (구평동),부산광역시 사하구 구평동 399,35.0695927407683,128.994478025741,부산 사하구 구평로16번길 71
9,(주)대한항공테크센터(7HGR 중앙휴게실(1층)),051-970-5182,"부산광역시 강서구 테크센터로 55, 대한항공 테크센터 (대저2동)",부산광역시 강서구 대저2동 103-1,35.1767269175092,128.934279540547,부산 강서구 테크센터로 55
10,(주)대한항공테크센터2BAY-HER2층(2 BAY-HER 중앙휴게실옆(1층)),051-970-5182,부산광역시 강서구 테크센터로 55(대저2동),부산광역시 강서구 대저2동 103-1,35.1767269175092,128.934279540547,부산 강서구 테크센터로 55
11,(주)대한항공테크센터3사무동1층(3사무동 1층),051-970-5182,부산광역시 강서구 테크센터로 55(대저2동),부산광역시 강서구 대저2동 103-1,35.1767269175092,128.934279540547,부산 강서구 테크센터로 55
