시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
기장군장애인협회,부산광역시,기장군,26710,부산광역시 기장군 기장읍 기장대로413번길 72-1,부산광역시 기장군 기장읍 청강리 294-4,35.2377976,129.21768,기장군장애인협회 출입구 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,부산광역시 기장군청,051-709-4371,2026.5.19,3400000,부산광역시 기장군
다행복한종합사회복지관,부산광역시,기장군,26710,부산광역시 기장군 기장읍 차성로417번길 11,부산광역시 기장군 기장읍 교리 234-1,35.2551252,129.215174,기장빛물꿈종합사회복지관 1층 로비,9:00,18:00,9:00,18:00,9:00,18:00,2,N,Y,부산광역시 기장군청,051-709-4371,2026.5.19,3400000,부산광역시 기장군
기장장애인복지관,부산광역시,기장군,26710,부산광역시 기장군 정관읍 병산로 42-15,부산광역시 기장군 정관읍 용수리 431-2,35.3364288,129.173511,기장장애인복지관 1층로비,9:00,18:00,9:00,18:00,9:00,18:00,2,N,Y,부산광역시 기장군청,051-709-4371,2026.5.19,3400000,부산광역시 기장군
철마면복지회관,부산광역시,기장군,26710,부산광역시 기장군 철마면 철마로 485,부산광역시 기장군 철마면 와여리 546,35.2752118,129.149762,철마면복지회관 1층 출입구 이발소 앞,8:00,18:00,8:00,18:00,8:00,18:00,2,N,Y,부산광역시 기장군청,051-709-4371,2026.5.19,3400000,부산광역시 기장군
정관읍행정복지센터,부산광역시,기장군,26710,부산광역시 기장군 정관읍 용수로 4,부산광역시 기장군 정관읍 용수리 141,35.3255014,129.180293,정관읍 행정복지센터 1층 로비,7:00,18:00,7:00,18:00,7:00,18:00,2,N,Y,부산광역시 기장군청,051-709-4371,2026.5.19,3400000,부산광역시 기장군
장안읍행정복지센터 임시청사,부산광역시,기장군,26710,부산광역시 기장군 장안읍 해맞이로 8,부산광역시 기장군 장안읍 좌천리 244-1,35.3124055,129.244875,장안읍 행정복지센터 직원체육시설 측 출입구,7:00,18:00,7:00,18:00,7:00,18:00,2,N,Y,부산광역시 기장군청,051-709-4371,2026.5.19,3400000,부산광역시 기장군
기장읍행정복지센터,부산광역시,기장군,26710,부산광역시 기장군 기장읍 차성동로5번길 10,부산광역시 기장군 기장읍 대라리 149-2,35.2385606,129.2162,기장읍 행정복지센터 1층 로비,7:00,18:00,7:00,18:00,7:00,18:00,2,N,Y,부산광역시 기장군청,051-709-4371,2026.5.19,3400000,부산광역시 기장군
기장군청,부산광역시,기장군,26710,부산광역시 기장군 기장읍 기장대로 560,부산광역시 기장군 기장읍 신천리 1,35.243477,129.222951,기장군청 1층 로비,5:00,23:59,5:00,23:59,5:00,23:59,2,N,Y,부산광역시 기장군청,051-709-4371,2026.5.19,3400000,부산광역시 기장군
일광역,부산광역시,기장군,26710,부산광역시 기장군 일광읍 일광로 111-10,부산광역시 기장군 일광읍 이천리 750-4,35.2674491,129.23308,일광역 2층 로비,5:00,23:59,5:00,23:59,5:00,23:59,2,N,Y,부산광역시 기장군청,051-709-4371,2026.5.19,3400000,부산광역시 기장군
오시리아역,부산광역시,기장군,26710,부산광역시 기장군 기장읍 동부산관광5로 14,부산광역시 기장군 기장읍 당사리 261-8,35.1962128,129.208263,오시리아역 1층 로비,5:00,23:59,5:00,23:59,5:00,23:59,2,N,Y,부산광역시 기장군청,051-709-4371,2026.5.19,3400000,부산광역시 기장군
